gov_name,date_from,date_to,gov_url
γριβα ιωαννη,1989-10-12,1989-11-23,https://gslegal.gov.gr/government/griva-ioanni-2/
ζολωτα ξενοφωντα,1989-11-23,1990-04-11,https://gslegal.gov.gr/government/zolota-xenofonta-2/
θανου-χριστοφιλου βασιλικης (υπηρεσιακη),2015-08-27,2015-09-21,https://gslegal.gov.gr/government/ypiresiaki-kyvernisi-thanou-christofi/
καραμανλη α. κωνσταντινου,2004-03-10,2007-09-19,https://gslegal.gov.gr/government/karamanli-a-konstantinou-3/
καραμανλη α. κωνσταντινου,2007-09-19,2009-10-06,https://gslegal.gov.gr/government/karamanli-a-konstantinou-2-2/
μητσοτακη κυριακου,2019-07-08,2023-05-25,https://gslegal.gov.gr/government/mitsotaki-kyriakou-3/
μητσοτακη κυριακου,2023-06-26,2026-07-19,https://gslegal.gov.gr/government/mitsotaki-kyriakou-2-2/
μητσοτακη κωνσταντινου,1990-04-11,1993-10-13,https://gslegal.gov.gr/government/mitsotaki-konstantinou-2/
παπαδημου λουκα δ.,2011-11-11,2012-05-16,https://gslegal.gov.gr/government/kyvernisi-louka-d-papadimou/
παπανδρεου α. γεωργιου,2009-10-06,2011-11-11,https://gslegal.gov.gr/government/papandreou-a-georgiou-2/
παπανδρεου ανδρεα,1993-10-13,1996-01-22,https://gslegal.gov.gr/government/papandreou-andrea-3-2/
πικραμμενου παναγιωτη οθ. (υπηρεσιακη),2012-05-16,2012-06-20,https://gslegal.gov.gr/government/kyvernisi-panagioti-oth-pikrammenou-y/
σαμαρα κ. αντωνιου,2012-06-20,2015-01-26,https://gslegal.gov.gr/government/samara-antoniou-konnou/
σαρμα ιωαννη (υπηρεσιακη),2023-05-25,2023-06-26,https://gslegal.gov.gr/government/ypiresiaki-sarma-ioanni/
σημιτη κωνσταντινου,1996-01-22,1996-09-25,https://gslegal.gov.gr/government/simiti-konstantinou-4/
σημιτη κωνσταντινου,1996-09-25,2000-04-13,https://gslegal.gov.gr/government/simiti-konstantinou-2-2/
σημιτη κωνσταντινου,2000-04-13,2004-03-10,https://gslegal.gov.gr/government/simiti-konstantinou-3-2/
τζαννετακη τζαννη,1989-07-02,1989-10-12,https://gslegal.gov.gr/government/tzannetaki-tzanni-2/
τσιπρα π. αλεξιου,2015-01-26,2015-08-27,https://gslegal.gov.gr/government/4396/
τσιπρα π. αλεξιου,2015-09-21,2019-07-08,https://gslegal.gov.gr/government/tsipra-alexiou/
